Star_name_1,Distance_1,Mass_1,Radius_1
WISE 1959-3338,37.2,,
WISE 2030+0749,34.2,,
WISE 2014+0424,96.2,,
WISE 2015+6646,50.6,,
WISE 2018-7423,47.9,,
WISE 2019-1148,42.4,,
WISE 2056+1459,24.5,,
WISE 2134-7137,42.7,,
WISE 2157+2659,61.6,,
WISE 2209-2734,46.0,,
WISE 2213+0911,58.7,,
WISE 2220-3628,26.4,,
WISE 2226+0440,45.0,,
WISE 2237-0614,53.5,,
WISE 2237+7228,46.0,,
WISE 2239+1617,59.7,,
WISE 2255-3118,44.7,,
WISE 2301+0216,60.7,,
WISE 2313-8037,35.9,,
WISE 2319-1844,52.2,,
WISE 2325-4105,37.5,,
WISE 2327-2730,70.8,,
WISE 2335+4222,90.3,,
WISE 2340-0745,37.8,,
WISE 2342+0856,51.2,,
WISE 2343-7418,48.6,,
WISE 2344+1034,46.0,,
WISE 2348-1028,54.1,,
WISE 2357+1227,54.8,,
WISE 2359-7335,42.7,,
WISEA 1101+5400,111.0,,
2M1510,120.0,,
